Metodo;Index;Tempo
otimizado;1;5,178652
otimizado;2;5,436747
otimizado;3;6,106925
otimizado;4;6,471391
otimizado;5;6,657111
otimizado;6;6,635352
otimizado;7;6,317079
otimizado;8;6,177322
otimizado;9;6,67131
otimizado;10;6,782861
otimizado;11;5,704786
otimizado;12;5,857522
otimizado;13;6,852948
otimizado;14;6,191057
otimizado;15;6,327825
otimizado;16;5,492987
otimizado;17;5,188504
otimizado;18;6,17893
otimizado;19;6,263982
otimizado;20;6,095199
otimizado;21;5,582175
otimizado;22;4,952862
otimizado;23;5,391535
otimizado;24;5,520754
original;1;5,58545
original;2;6,159513
original;3;5,23993
original;5;5,919438
original;4;4,823857
original;6;6,568718
original;7;5,061775
original;8;5,709866
original;9;5,353845
original;10;4,787018
original;11;7,061706
original;12;6,491014
original;13;7,03262
original;14;5,285308
original;15;4,851405
original;16;6,348418
original;17;5,3985
original;18;4,950216
original;19;5,61031
original;20;5,280396
original;21;4,837255
original;22;5,550008
original;23;5,372182
original;24;4,817095
